,Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2017 m. gruodžio mėn.),,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Įmonė,Miestas,Vidutinė lauko oro temperatūra,Vidutinis šilumos suvartojimas šildymui mieste,Vidutinis mokėjimas už šilumą 1 m² ploto šildymui mieste,Dieno- laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis,,,,,,Namo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotas,Šilumos suvartojimas,Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,0C,MWh/m²/mėn,Eur/m²/mėn,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,EUR/MWh,EUR/m²/mėn,kWh/mėn,EUR/mėn
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"I. Daugiabučiai suvartojantys mažiausiai šilumos (naujos statybos, kokybiški namai)","AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Jaunimo 4 (renov.)*,Pilnai renovuotas,64,1987,"9,1","7,1","1,9",0,0,0,"2419,1",0,"2419,1",0,"56,68",0,0,0
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Ašmenos 1-oji g. 10,,86,2006,"50,5","12,5","1,2",0,0,"36,9","5046,7","36,9","5046,7",73,"56,68","0,41","438,41","24,85"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Radvilėnų 5),,60,2005,"53,6",8,"4,7","1,6",0,"39,3","4933,5","37,8","4747,3",80,"56,68","0,45","478,2","27,1"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Archyvo 48,,38,2004,"25,2","4,5","-0,2","1,1",0,"19,8","2371,7","19,8","2371,7",83,"56,68","0,47","500,15","28,35"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Krėvės 82B,,118,2007,"100,7","18,8","12,7",0,0,"69,2","7726,7","62,5",6972,90,"56,68","0,51","537,65","30,47"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Karaliaus Mindaugo 7,,18,2006,"21,9",2,"0,5","0,7",0,"18,7","1988,3","14,9","1587,5",94,"56,68","0,53","564,01","31,97"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Sukilėlių 87A,,72,2005,"65,6","13,3","0,1","1,9",0,"50,3","5346,2","50,3","5346,2",94,"56,68","0,53","564,85","32,02"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Geležinio Vilko 1A,,51,2005,"39,4","6,6","0,3",0,0,"32,5","3073,9","31,7","3001,7",106,"56,68","0,6","634,23","35,95"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Prūsų g. 15,,39,2007,33,"6,2",1,0,0,"25,7","2368,8","25,7","2368,8",109,"56,68","0,62","651,89","36,95"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Saulės 3,,22,2006,"23,9","4,5","0,5",0,0,"18,9","1697,8","18,9","1697,8",111,"56,68","0,63","666,38","37,77"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Vievio 54 (renov.),,38,1990,"27,7","5,2","8,6","0,9",0,13,"2118,6",13,"2118,6",61,"56,68","0,35","367,32","20,82"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Škirpos K. g. 15 (renov.)***,Pilnai renovuotas,56,1978,"42,6","8,5","1,8","1,1",0,"31,2","3531,4","31,2","3531,4",88,"56,68","0,5","530,1","30,05"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Krėvės 115 A (renov)**,Pilnai renovuotas,72,1975,"45,8","7,1","4,1",0,0,"34,6","3784,1","34,6","3784,1",91,"56,68","0,52","547,82","31,05"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Kovo 11-osios 114 (renov.),,100,1972,"66,3","10,1","13,1","1,7",0,"41,4","4425,3","41,4","4425,3",94,"56,68","0,53","561,73","31,84"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Krėvės 61 (renov.),,60,1968,"39,1","6,8",8,"-1,7",0,26,"2714,9",26,"2714,9",96,"56,68","0,54","574,38","32,56"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Lukšio P. 4 (renov.)***,Pilnai renovuotas,54,1982,"43,5","4,3","2,2",0,0,37,"3554,8",37,"3554,8",104,"56,68","0,59","624,01","35,37"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"22,9","3,9",0,0,"1,9","17,1","1419,3","17,1","1419,3",120,"56,68","0,68","722,87","40,97"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Masiulio T. 1 (renov),,20,1959,"15,9","2,2",0,0,"1,8","11,9","985,6","11,4","941,1",121,"56,68","0,69","726,69","41,19"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Jėgainės 23 (renov),,12,1956,"10,2","1,4",0,0,"0,8",8,"640,3",8,"640,3",125,"56,68","0,71","748,56","42,43"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Sąjungos a. 10 (renov.),,63,1960,"17,7","3,6","1,8",0,0,"12,3",924,"12,3",924,133,"56,68","0,76","800,17","45,35"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Lukšos-Daumanto 2,,41,1987,"47,6","4,1","7,5","0,1",0,"35,9","2323,4","25,6","1658,2",154,"56,68","0,88","926,57","52,52"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Šiaurės 101,,57,1982,"82,5","7,4","17,3",0,0,"57,9","3486,1","57,9","3486,1",166,"56,68","0,94","995,84","56,44"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Partizanų 198,,59,1981,"80,3","6,7","14,5",0,0,"59,1","3418,8","58,1","3356,3",173,"56,68","0,98","1037,83","58,82"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Partizanų 20,,108,1968,78,"6,6","22,1",0,0,"49,3","2559,3","49,3","2559,3",193,"56,68","1,09","1155,78","65,51"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Pašilės 96,,54,1987,"59,7","6,1","10,3",0,0,"43,2","2179,6","43,2","2179,6",198,"56,68","1,12","1189,75","67,43"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Lukšio 64,,47,1979,"80,2","6,7","13,4",0,0,"60,1","2974,9",59,"2918,3",202,"56,68","1,15","1212,56","68,73"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Baltų 2,,92,1991,"103,4","8,3","18,4",0,0,"76,7","3724,7",73,"3549,5",206,"56,68","1,17","1234,78","69,99"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Šiaurės 1,,47,1981,"83,2","5,5","13,3","0,9",0,"63,4","2980,6","60,7","2853,9",213,"56,68","1,21","1276,44","72,35"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Gravrogkų 17,,118,1961,"69,8",9,"2,5",0,0,"58,2",2620,"58,2",2620,222,"56,68","1,26","1333,12","75,56"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Taikos 39,,107,1974,"83,5","8,9","14,2",0,0,"60,4",2560,"59,1","2503,1",236,"56,68","1,34","1415,52","80,23"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Draugystės 6,,55,1977,"62,2",5,"12,4",0,0,"44,7","2217,3","44,7","2217,3",202,"56,68","1,14","1210,38","68,6"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Baršausko 78,,32,1961,"38,8","3,6",0,0,0,"35,3","1429,6","35,3","1429,6",247,"56,68","1,4","1479,61","83,86"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Savanorių 237,,22,1958,"39,1",0,0,0,0,"39,1","1528,3","28,5","1113,7",256,"56,68","1,45","1536,64","87,1"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Kalantos R. 23,,28,1957,"39,4",0,0,0,0,"39,4","1462,5",35,"1301,1",269,"56,68","1,53","1614,77","91,53"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Strazdo A. 77,,24,1962,"12,3",0,0,0,0,"12,3",402,"12,3",402,306,"56,68","1,73","1836,43","104,09"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Juozapavičiaus 48 A,,25,1957,"48,8",0,0,0,0,"48,8","1561,5","48,8","1561,5",313,"56,68","1,77","1875,94","106,33"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Jakšto 8,,8,1901,"11,1",0,0,0,0,"11,1","330,1","9,9","294,5",336,"56,68","1,91","2018,96","114,43"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Stulginskio A. 64,,18,1959,"36,7","2,3",0,0,0,"34,4","963,8","34,4","963,8",356,"56,68","2,02","2138,81","121,23"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Instituto 18,,8,iki 1992,"14,4",1,0,0,0,"13,4","364,3","13,4","364,3",368,"56,68","2,09","2207,28","125,11"
,"AB ,,Kauno energija""",Kaunas,"1,1",162,"0,92","523,9",Armatūrininkų 6,,7,1959,"11,9",0,0,0,0,"11,9",322,"11,9",322,369,"56,68","2,09","2215,67","125,58"
