,,,,,,,,,,,,,,,,,,,,,,,,
,Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2018 m. sausio mėn),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Įmonė,Miestas,Vidutinė lauko oro temperatūra,Vidutinis miesto šilumos suvartojimas šildymui daugiabučiuose namuose,Vidutinis mokėjimas už šilumą 1 m² ploto šildymui mieste (su PVM),Dieno-laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis pastate:,,,,,,Namo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotasNamo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotasButų plotas,Šilumos suvartojimas,Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM) Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,0C,MWh/m²/mėn,Eur/m²/mėn,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,Eur/MWh,Eur/m²/mėn,kWh/mėn,Eur/mėn
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"I. Daugiabučiai suvartojantys mažiausiai šilumos (naujos statybos, kokybiški namai)","AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Jaunimo 4 (renov.)*,Pilnai renovuotas,64,1987,"15,2","6,1","5,9",0,0,"3,2","2419,1","3,2","2419,1",13,"61,8","0,08","79,12","4,89"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Ašmenos 1-oji g. 10,,86,2006,"59,2","15,4","1,2",0,0,"42,6","5046,7","42,6","5046,7",84,"61,8","0,52","506,98","31,33"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Radvilėnų 5,,60,2005,"61,2","10,5","6,5","-2,7",0,"46,9","4933,5","45,2","4747,3",95,"61,8","0,59",571,"35,29"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Archyvo 48,,38,2004,"30,7","4,7","0,6",0,0,"25,3","2371,7","25,3","2371,7",107,"61,8","0,66","640,81","39,6"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Krėvės 82B,,118,2007,"117,9","20,8","12,7",0,0,"84,4","7726,7","76,2",6972,109,"61,8","0,68","655,77","40,53"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Karaliaus Mindaugo 7,,18,2006,"25,4","2,2",1,"-0,2",0,"22,2","1988,3","17,8","1587,5",112,"61,8","0,69","671,44","41,49"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Sukilėlių 87A,,72,2005,"79,7","13,4","2,1","0,4",0,"63,9","5346,2","63,9","5346,2",119,"61,8","0,74","716,81","44,3"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Geležinio Vilko 1A,,51,2005,"46,6","6,3","0,3",0,0,40,"3073,9",39,"3001,7",130,"61,8","0,8","780,07","48,21"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Prūsų g. 15,,39,2007,"38,5","5,7",1,0,0,"31,8","2368,8","31,8","2368,8",134,"61,8","0,83","805,91","49,81"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Saulės 3,,22,2006,"27,9",3,"0,5",0,0,"24,4","1697,8","24,4","1697,8",143,"61,8","0,89","860,95","53,21"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Vievio 54 (renov.),,38,1990,"31,6","5,8","10,7","-0,8",0,"15,8","2118,6","15,8","2118,6",75,"61,8","0,46","448,04","27,69"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Škirpos K. g. 15 (renov.)***,Pilnai renovuotas,56,1978,"46,8","8,3","3,8","-0,4",0,"35,3","3531,4","35,3","3531,4",100,"61,8","0,62","599,42","37,04"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Krėvės 115 A (renov)**,Pilnai renovuotas,72,1975,52,"6,9","4,2",0,0,"40,9","3784,1","40,9","3784,1",108,"61,8","0,67","648,34","40,07"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Kovo 11-osios 114 (renov.),,100,1972,"72,8","10,8","13,5","-0,8",0,"49,2","4425,3","49,2","4425,3",111,"61,8","0,69","666,67","41,2"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Krėvės 61 (renov.),,60,1968,"44,3","7,1","9,3","-3,2",0,"31,1","2714,9","31,1","2714,9",114,"61,8","0,71","686,65","42,43"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Lukšio P. 4 (renov.)***,Pilnai renovuotas,54,1982,"48,5","4,3","2,1",0,0,"42,2","3554,8","42,2","3554,8",119,"61,8","0,73","711,44","43,97"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Masiulio T. 1 (renov),,20,1959,"17,5","2,6",0,0,"1,4","13,6","985,6",13,"941,1",138,"61,8","0,85","826,96","51,11"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Jėgainės 23 (renov),,12,1956,"11,3","1,5",0,0,"0,8","9,1","640,3","9,1","640,3",141,"61,8","0,87","848,27","52,42"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"26,2","3,4",0,0,"2,3","20,5","1419,3","20,5","1419,3",145,"61,8","0,89","868,29","53,66"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Sąjungos a. 10 (renov.),,63,1960,"20,4",4,"2,5","-1,1",0,15,924,15,924,162,"61,8",1,"971,4","60,03"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Lukšos-Daumanto 2,,41,1987,"55,1","3,7","8,1","-0,1",0,"43,4","2323,4",31,"1658,2",187,"61,8","1,15","1120,5","69,25"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Šiaurės 101,,57,1982,"97,2","10,1","14,7",0,0,"72,4","3486,1","72,4","3486,1",208,"61,8","1,28","1245,23","76,96"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Partizanų 198,,59,1981,"96,4","6,9","14,5",0,0,"75,1","3418,8","73,7","3356,3",220,"61,8","1,36","1317,16","81,4"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Pašilės 96,,54,1987,"66,7","5,5","10,9",0,0,"50,3","2179,6","50,3","2179,6",231,"61,8","1,43","1385,75","85,64"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Partizanų 20,,108,1968,"90,4","6,7","23,8",0,0,"59,9","2559,3","59,9","2559,3",234,"61,8","1,45","1403,58","86,74"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Lukšio 64,,47,1979,"90,1",8,12,0,0,"70,1","2974,9","68,8","2918,3",236,"61,8","1,46","1413,84","87,38"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Šiaurės 1,,47,1981,"91,3","5,7","14,7","-0,5",0,"71,5","2980,6","68,4","2853,9",240,"61,8","1,48","1439,09","88,94"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Baltų 2,,92,1991,"119,2","9,1","18,4",0,0,"91,6","3724,7","87,3","3549,5",246,"61,8","1,52","1475,27","91,17"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Gravrogkų 17,,118,1961,"77,9","10,4","2,5",0,0,65,2620,65,2620,248,"61,8","1,53","1487,67","91,94"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Taikos 39,,107,1974,"91,4","7,6","14,2",0,0,"69,6",2560,"68,1","2503,1",272,"61,8","1,68","1631,28","100,81"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Draugystės 6,,55,1977,"72,9",4,"13,6",0,0,"55,3","2217,3","55,3","2217,3",249,"61,8","1,54","1495,05","92,39"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Baršausko 78,,32,1961,"42,8","3,5",0,0,0,"39,3","1429,6","39,3","1429,6",275,"61,8","1,7","1649,43","101,93"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Savanorių 237,,22,1958,"46,1",0,0,0,0,"46,1","1528,3","33,6","1113,7",302,"61,8","1,86","1809,5","111,83"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Kalantos R. 23,,28,1957,"45,5",0,0,0,0,"45,5","1462,5","40,5","1301,1",311,"61,8","1,92","1867,49","115,41"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Juozapavičiaus 48 A,,25,1957,"55,2",0,0,0,0,"55,2","1561,5","55,2","1561,5",353,"61,8","2,18","2120,32","131,04"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Strazdo A. 77,,24,1962,"15,4",0,0,0,0,"15,4",402,"15,4",402,383,"61,8","2,37","2297,59","141,99"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Armatūrininkų 6,,7,1959,13,0,0,0,0,13,322,13,322,405,"61,8","2,5","2429,96","150,17"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Stulginskio A. 64,,18,1959,"42,3","2,3",0,0,0,40,"963,8",40,"963,8",415,"61,8","2,56","2489,31","153,84"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Jakšto 8,,8,1901,14,0,0,0,0,14,"330,1","12,5","294,5",425,"61,8","2,63","2552,74","157,76"
,"AB ,,Kauno energija""",Kaunas,"-1,6",190,"1,17","607,6",Instituto 18,,8,iki 1992,"17,3","0,8",0,0,0,"16,5","364,3","16,5","364,3",453,"61,8","2,8","2715,94","167,84"
